text,count,examples
REVISION Y REGULACION DE FRENOS,2,(s/f)  Q-12 FRENOS | (s/f)  RX-12 FRENOS
Instalación DE SOSPORTES PARA LINTERNAS (ENVIADO POR CIA.),2,(s/f)  B-13 OTROS | (s/f)  BM-13 OTROS
Instalacion de luces perimetrales,1,(s/f)  BX-19 LUCES Y SISTEMA ELECTRICO
Instalacion cargadores base radio portatiles y de linternas,1,(s/f)  BX-19 LUCES Y SISTEMA ELECTRICO
"Se solicito cambio de neumaticos de BX19 en abril de 2024, los cuales fueron cambiados por los neumaticos reemplazado a RX19 los cuales se encotraban en regulares condiciones",1,(s/f)  BX-19 NEUMATICOS
Revision alzavidrios (Ruido al subir),1,(s/f)  BX-19 CABINA Y CARROCERIA
Revisar Chapa de encendido de BX19 (Da encendido pero no permipte utilizxar os alzavidrios de la maquina debido a que hace mal contacto y hay que mover la llave para que funcionen),1,(s/f)  BX-19 ACCESORIOS E INSTRUMENTOS
Instalacion de un estanque de combustible de mayor capacidad. Pendiente del 2023,1,(s/f)  BX-19 OTROS
"Pendiente cambio tambores delanteros. Pendiente 2025, los cuales llegaron y no corresponden al modelo del camion",1,(s/f)  RX-19 FRENOS
Instalacion de AC pendiente de 2023 el cual fue presupuestado por CML,1,(s/f)  RX-19 CABINA Y CARROCERIA
"Tapices de asientos rotos y lona protectora de material de techo, se enuenrta en CML desde 2023 para su reparacion o fabricacion.",1,(s/f)  RX-19 CABINA Y CARROCERIA
Mantencion de geerador,1,(s/f)  RX-19 TORRE DE ILUMINACION
Cambio d Burletes de puertas de cabina (se encuentran malas),1,(s/f)  RX-19 OTROS
instalacion bases de cargador de radios portatiles,1,(s/f)  B-19 LUCES Y SISTEMA ELECTRICO
"Puerta abatible de materia primera cortina lado derecho (Se encuentra caida y raspa el soporte de esta misma), pendiente 2025",1,(s/f)  B-19 CHASSIS
"Valvula de aire principal cuerpo bomba, se encuentra con perdida desde noviembre del 2024",1,(s/f)  B-19 CUERPO BOMBA
"Falta cadena de enrrollado para si mismo del pollo, pendiente de 2021 (Implica el no aseguramieto del pollo)",1,(s/f)  B-19 OTROS
"faltan tapas plasticas en el tablero, tapa con hilo del techo y una en el tablero",1,(s/f)  B-1 CABINA Y CARROCERIA
"Reparacion de ambos pollos, el del lado derecho no enrrolla las tiras",1,(s/f)  B-1 CABINA Y CARROCERIA
Reparacion luz estrodoscopica del lado derecho no funciona,1,(s/f)  B-1 CABINA Y CARROCERIA
Cable con contra tuerca desconectada en comando manual de torre de iluminacion peligro de corte de los cables,1,(s/f)  RH-1 TORRE DE ILUMINACION
"foco superior derecho de torre de iluminacion quebarado desde la base, cambio y reemplazo por focos led",1,(s/f)  RH-1 TORRE DE ILUMINACION
CAMBIO SOPORTE DE MOTOR,1,(s/f)  B-20 DIRECCION
MANTENCION DE FRENO DE MOTOR CON POCA EFECTIVIDAD,1,(s/f)  B-20 FRENOS
"REVISION SISTEMA TRASERO, REAPRIETE",1,(s/f)  B-20 SUSPENSION
"CAMBIO DE NEUMATICOS , ESTABA PROGRAMADO PARA FEBRERO 2025",1,(s/f)  B-20 NEUMATICOS
Revisión de piolas asienrtos ERA,1,(s/f)  B-20 CABINA Y CARROCERIA
REVISION VALVULAS SISTEMA CON FILTRACIONES.,1,(s/f)  B-20 CUERPO BOMBA
"Filtracion de agua por valvulas (Valvula de estanque no cierra bien y queda pasando agua/ Valvula de 3"" descarga derecha no cierra/ Sello del eje de la bomba con exceso de perdida de agua/ Sello del eje de la bomba con exceso de perdida de agua)",1,(s/f)  BM-20 CUERPO BOMBA
Panel de bomba costado izquierdo mal montado esto está generando que todas las manillas de las válvulas no cierren por completo.,1,(s/f)  BM-20 CUERPO BOMBA
Mantencion completa torre y al sistema hidraulico para mejor velocidad de funcionamiento,1,(s/f)  BM-20 OTROS
Revisión de relleno de butacas,1,(s/f)  B-10 CABINA Y CARROCERIA
"Revisión de soporte ERA en general, varios equipos quedan sueltos",1,(s/f)  B-10 CABINA Y CARROCERIA
"Manómetros perdieron líquido interior (Pitón monitor, Salida alta presión, salida frontal y cama cruzada #2)",1,(s/f)  B-10 CUERPO BOMBA
Mantención de torre de luz,1,(s/f)  B-10 TORRE DE ILUMINACION
Revisión de generador hidraulico,1,(s/f)  B-10 TORRE DE ILUMINACION
"Revisar alineación y orientación del volante, en tramos largos no se siente firme",1,(s/f)  BX-10 DIRECCION
"Cinturón de seguridad OBAC no engancha correctamente, fue reparado y no esta 100%",1,(s/f)  BX-10 CABINA Y CARROCERIA
"Ajustar bisagras ambas puertas traseras, puertas rozan con carrocería al abrir o cerrar",1,(s/f)  B-9 CABINA Y CARROCERIA
REVISION DE LUCES Y REPOSICION LUCES PERIMETRALES POR 6-12,1,(s/f)  BX-16 LUCES Y SISTEMA ELECTRICO
REVISION MANTENEDOR ENCHUFE EN MAQUINA NO ENCIENDE,1,(s/f)  BX-16 LUCES Y SISTEMA ELECTRICO
REVISION DE FUGAS BAJA EN NIVEL DE PULMONES,1,(s/f)  BX-16 FRENOS
REPARACION VALVULA DE ASIENTO CONDUCTOR,1,(s/f)  BX-16 CABINA Y CARROCERIA
REVISION DE NIVELES,1,(s/f)  BX-16 MANTENCION
REPARACION DE BOTON CARRETE MANGUERIN PRIMERA INTERVENCION,1,(s/f)  BX-16 MANTENCION
REPARACION FUGA AGUA MANGUERIN CERCA DE COPLA PITON,1,(s/f)  BX-16 OTROS
INSTALACION DE BANCADA DE BATERIAS ADICIONAL POR SOBRE CONSUMO,1,(s/f)  RX-16 LUCES Y SISTEMA ELECTRICO
REVISION DE VOLTAJE DE ENCHUFE MANTENEDOR Y PERDIDA CARGA,1,(s/f)  RX-16 LUCES Y SISTEMA ELECTRICO
revision tren delantero,1,(s/f)  B-21 DIRECCION
revision frenos (chillido),1,(s/f)  B-21 FRENOS
lubricacion puertas cajoneras,1,(s/f)  B-21 CABINA Y CARROCERIA
revision por perdida de potencia en carretera,1,(s/f)  B-21 MOTOR
PINTURA REPARACION CAJONERA TRASERA DERECHA,1,(s/f)  BX-21 CHASSIS
MANTENCION GENERADOR,1,(s/f)  BX-21 OTROS
